,'',(,),",",.,:,CC,CD,DT,EX,FW,Filename,Fillers,IN,JJ,JJR,JJS,LIVerbs,LS,MD,MLU,NN,NNP,NNPS,NNS,NSNouns,PDT,POS,PRP,PRP$,RB,RBR,RBS,RP,TO,TTR,UH,UniqueStems,UniqueWords,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WP$,WRB,WordCount,``,$,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP,Author,Approx Age at Composition,Year of Publication,Nouns,Nouns/100,NounsNormalised,Adjectives,Adjectives/100,AdjectivesNormalised,Adverbs,Adverbs/100,AdverbsNormalised,Verbs,Verbs/100,VerbsNormalised,Pronouns,PronounsNormalised,UniqueWordsNormalised,UniqueStemsNormalised
13,2389.0,1.0,1.0,4283.0,5352.0,761.0,1566.0,785.0,5166.0,208.0,36.0,The Mysterious Affair at Styles.txt,233.0,6074.0,3158.0,85.0,76.0,1236.0,1.0,1128.0,13.281906906906906,7732.0,3108.0,12.0,1465.0,148.0,52.0,831.0,6221.0,1349.0,4279.0,60.0,38.0,334.0,1335.0,0.1107222027768055,99.0,3994.0,6643.0,2445.0,4481.0,902.0,1626.0,1303.0,1059.0,256.0,369.0,7.0,269.0,59997.0,64.0,0.0,1,57053,52.05,70.74,30.87,29.98,10.7,17.3,86.9,56.28,17.8,12.0,4.58,0.72,1.9,4.37,0.44,5.79,7.07,12.44,9.72,4.57,5.35,2.3,17.78,3.74,1.8,1.61,1.07,1.65,5.11,2.66,2.41,0.52,0.63,0.67,12.97,0.4,0.29,2.67,3.59,12.07,3.0,1.05,1.63,2.65,1.93,3.22,3.27,1.33,1.35,0.48,1.98,0.9,0.62,0.03,0.43,6.28,1.53,0.67,2.99,0.93,0.49,7.73,7.65,1.28,13.21,2.0,6.74,4.68,1.14,0.47,0.85,0.33,0.12,0.38,0.93,0.03,0.03,0.5,0.44,0.02,30.12,7.17,7.51,0.23,0.13,1.52,0.73,3.16,0.27,9.41,0.0,0.0,Agatha Christie,28,1920,12317.0,123.17,0.205293598013234,3319.0,33.19,0.05531943263829858,4377.0,43.77,0.07295364768238412,11816.0,118.16,0.19694318049235796,7570.0,0.12617297531543245,0.1107222027768055,0.06656999516642499
15,2909.0,13.0,13.0,4417.0,7983.0,988.0,2109.0,929.0,7343.0,325.0,16.0,The Secret Adversary.txt,307.0,7833.0,4498.0,139.0,69.0,1856.0,0.0,1585.0,11.854477144646212,10557.0,4471.0,26.0,2085.0,263.0,74.0,1160.0,7941.0,1681.0,5643.0,107.0,16.0,630.0,1964.0,0.10415332315120461,76.0,5055.0,8456.0,3559.0,6208.0,1164.0,1806.0,2047.0,1175.0,265.0,382.0,9.0,350.0,81188.0,93.0,0.0,1,75932,60.74,78.64,27.53,36.98,9.43,15.74,86.18,54.42,16.85,11.73,3.45,0.68,2.01,4.8,0.8,5.11,7.8,12.9,9.08,4.63,5.26,2.02,18.43,4.04,1.81,1.36,1.18,1.68,4.85,2.72,2.09,0.59,0.41,0.55,13.8,0.17,0.24,2.54,4.09,11.43,2.8,0.92,1.63,2.9,1.71,3.01,3.94,1.56,1.56,0.79,1.83,1.14,0.4,0.04,0.25,6.71,1.26,0.89,3.14,1.36,0.58,7.49,8.2,1.5,14.6,2.46,7.69,4.76,1.25,0.39,0.66,0.43,0.17,0.2,0.8,0.07,0.07,0.25,0.43,0.04,30.74,8.81,5.82,0.2,0.04,1.31,0.86,3.07,0.25,10.36,0.03,0.0,Agatha Christie,32,1922,17139.0,171.39,0.21110262600384294,4706.0,47.06,0.05796423116716756,5786.0,57.86,0.07126668965857023,15959.0,159.59,0.19656845839286594,9622.0,0.1185150514854412,0.10415332315120461,0.06226289599448194
2,2904.0,28.0,28.0,4488.0,7092.0,879.0,1921.0,478.0,6448.0,232.0,37.0,The Murder of Roger Ackroyd.txt,341.0,7312.0,3780.0,106.0,108.0,1677.0,0.0,1202.0,12.704658077304261,9321.0,4276.0,11.0,1616.0,277.0,108.0,364.0,8461.0,1535.0,5251.0,81.0,34.0,438.0,1889.0,0.07984105892574232,200.0,4148.0,6249.0,3116.0,5768.0,1110.0,1692.0,2022.0,1444.0,204.0,576.0,6.0,399.0,78268.0,2768.0,0.0,1,70305,52.63,73.34,36.2,33.58,9.83,15.76,87.33,55.82,18.63,12.75,5.39,0.61,2.09,4.3,0.37,5.86,7.05,12.64,9.17,4.8,5.08,2.05,18.8,3.66,1.78,1.6,1.27,1.69,4.77,2.59,2.14,0.54,0.47,0.61,14.03,0.37,0.26,2.09,3.82,11.95,3.04,0.97,1.59,2.76,2.13,3.02,4.25,1.4,2.26,0.59,1.74,0.95,0.49,0.03,0.28,5.92,1.42,0.66,2.71,1.03,0.48,8.19,8.31,1.24,13.32,2.14,6.82,4.64,1.07,0.34,0.82,0.4,0.1,0.35,0.72,0.03,0.05,0.34,0.34,0.01,30.55,8.51,6.38,0.08,0.03,1.47,0.3,3.51,8.06,2.13,0.08,0.0,Agatha Christie,34,1926,15224.0,152.24,0.19451116676036184,3994.0,39.94,0.05102979506311647,5352.0,53.52,0.06838043644912352,15152.0,151.52,0.1935912505749476,9996.0,0.12771503040834056,0.07984105892574232,0.052997393570807995
8,2721.0,27.0,27.0,3603.0,6282.0,992.0,1427.0,1025.0,5979.0,233.0,44.0,Murder on the Orient Express.txt,247.0,5698.0,3662.0,97.0,72.0,1350.0,1.0,984.0,11.804971932638331,8402.0,3899.0,25.0,1644.0,152.0,73.0,825.0,5766.0,1254.0,3948.0,82.0,42.0,326.0,1375.0,0.10482373270028907,124.0,3838.0,6491.0,2489.0,4363.0,811.0,1365.0,1673.0,1290.0,220.0,384.0,12.0,265.0,61923.0,72.0,1.0,1,59213,58.11,80.68,22.26,35.38,9.01,17.17,85.37,54.53,17.02,11.21,3.48,0.68,2.36,4.17,0.51,5.8,7.97,11.56,9.09,4.48,4.89,2.14,17.5,4.06,2.05,1.51,1.62,1.76,4.29,2.39,1.84,0.42,0.55,0.42,14.32,0.27,0.24,2.47,3.93,11.43,2.96,0.97,1.38,2.67,1.9,3.06,3.85,1.47,1.84,0.48,1.91,1.07,0.41,0.03,0.43,5.32,1.28,0.67,2.39,0.82,0.42,7.54,8.12,1.16,12.48,1.98,6.36,4.36,0.94,0.47,0.52,0.24,0.12,0.39,0.92,0.02,0.06,0.49,0.47,0.01,32.64,9.42,6.08,0.21,0.03,1.63,0.31,4.57,0.26,10.04,0.09,0.0,Agatha Christie,43,1934,13970.0,139.7,0.22560276472393134,3831.0,38.31,0.06186715759895354,4063.0,40.63,0.06561374610403242,11991.0,119.91,0.19364371881207307,7020.0,0.1133666004554043,0.10482373270028907,0.061980201217641265
7,2134.0,36.0,36.0,3029.0,5483.0,1595.0,1354.0,815.0,4533.0,224.0,40.0,Appointment with Death.txt,194.0,5241.0,3726.0,88.0,79.0,1235.0,1.0,930.0,12.476503931248857,7305.0,3714.0,14.0,1457.0,168.0,58.0,785.0,5549.0,1433.0,4292.0,60.0,41.0,299.0,1354.0,0.1133289853082521,122.0,4071.0,6603.0,2359.0,4448.0,867.0,1175.0,1614.0,1151.0,147.0,365.0,9.0,235.0,58264.0,37.0,0.0,1,54719,52.35,84.31,17.27,31.37,9.81,16.47,86.72,53.85,17.39,12.18,3.34,0.58,2.27,5.3,0.69,5.2,6.64,11.79,9.29,4.9,4.98,2.0,18.63,4.19,1.72,1.39,1.13,1.59,5.73,2.99,2.66,0.58,0.6,0.81,15.43,0.79,0.15,4.73,2.82,11.53,2.94,0.97,1.49,2.65,2.0,2.82,4.09,1.53,1.92,0.62,2.59,1.22,1.02,0.09,0.26,6.24,1.54,0.76,2.88,0.95,0.49,7.83,8.44,1.33,13.03,2.4,6.41,4.63,0.8,0.6,0.4,0.23,0.17,0.51,1.05,0.04,0.05,0.56,0.43,0.02,33.48,8.68,5.54,0.61,0.04,1.39,0.84,6.43,0.14,9.69,0.13,0.0,Agatha Christie,47,1937,12490.0,124.9,0.21436907867636962,3893.0,38.93,0.06681655911025676,4407.0,44.07,0.0756384731566662,11614.0,116.14,0.1993340656322944,6982.0,0.11983385967321158,0.1133289853082521,0.06987161883839077
0,2568.0,13.0,13.0,3043.0,5971.0,1365.0,1679.0,729.0,4993.0,225.0,9.0,Towards Zero.txt,279.0,5693.0,3374.0,75.0,61.0,1427.0,1.0,1016.0,12.114424526721393,7460.0,3864.0,8.0,1523.0,233.0,69.0,1005.0,6318.0,1240.0,4689.0,51.0,21.0,423.0,1259.0,0.10549161139289895,114.0,3744.0,6489.0,2445.0,4796.0,997.0,1391.0,1651.0,1261.0,198.0,407.0,4.0,271.0,61512.0,18.0,0.0,1,57195,47.18,81.2,21.48,23.23,9.52,14.52,87.73,54.29,17.99,12.08,3.35,0.45,2.38,5.38,0.53,5.89,6.47,12.12,9.84,5.0,5.27,2.43,20.08,4.09,1.65,1.46,1.08,1.73,6.01,2.89,3.06,0.53,1.06,0.52,15.03,0.38,0.26,3.2,3.92,11.94,2.78,1.0,1.56,2.88,1.94,3.14,4.72,1.67,2.18,0.77,2.05,1.22,0.42,0.06,0.31,6.45,1.34,0.65,3.1,1.2,0.48,8.7,8.86,1.26,13.92,2.36,7.5,4.41,0.82,0.69,0.83,0.28,0.13,0.36,1.08,0.08,0.04,0.4,0.57,0.02,32.89,9.01,5.32,0.62,0.02,1.29,0.53,3.71,0.07,12.27,0.05,0.0,Agatha Christie,51,1944,12855.0,128.55,0.20898361295357004,3510.0,35.1,0.05706203667577058,4757.0,47.57,0.07733450383664976,12541.0,125.41,0.20387891793471194,7558.0,0.1228703342437248,0.10549161139289895,0.060866172454155286
12,2929.0,51.0,51.0,4448.0,6951.0,1560.0,2362.0,870.0,6319.0,292.0,17.0,A Murder is Announced.txt,317.0,7040.0,4367.0,115.0,80.0,1981.0,1.0,1452.0,13.232199481118478,9111.0,5731.0,14.0,2251.0,284.0,82.0,1174.0,7674.0,1301.0,5972.0,69.0,32.0,564.0,1591.0,0.1019871270944013,174.0,4597.0,7986.0,3482.0,5500.0,1174.0,1662.0,2408.0,1586.0,232.0,584.0,8.0,422.0,78304.0,101.0,1.0,1,73005,43.73,75.2,24.76,24.57,10.39,15.64,86.96,54.56,17.34,11.24,3.54,0.47,2.1,4.42,0.71,6.07,6.69,11.54,9.99,5.51,6.14,2.42,20.68,3.95,1.69,1.66,0.97,2.05,6.01,2.94,3.01,0.45,0.62,1.33,13.7,0.51,0.33,3.62,2.26,12.35,2.84,1.0,1.72,3.17,1.81,3.42,4.18,1.55,1.97,0.56,1.8,0.8,0.47,0.04,0.49,5.7,1.27,0.6,2.55,1.15,0.45,8.01,10.12,1.3,13.25,2.04,7.03,4.41,1.06,0.52,0.95,0.53,0.1,0.5,1.02,0.08,0.06,0.37,0.48,0.03,33.65,8.94,6.09,0.21,0.03,1.42,0.33,4.85,0.3,11.34,0.14,0.0,Agatha Christie,59,1950,17107.0,171.07,0.21846904372701267,4562.0,45.62,0.05826011442582754,6074.0,60.74,0.07756947282386596,15812.0,158.12,0.20193093583980384,8975.0,0.11461738863914998,0.1019871270944013,0.05870709031467103
3,2384.0,8.0,8.0,4049.0,6128.0,842.0,1875.0,777.0,5762.0,310.0,16.0,Destination Unknown.txt,273.0,6234.0,4050.0,104.0,80.0,1538.0,2.0,1178.0,12.469970462750247,7766.0,3408.0,22.0,2159.0,179.0,95.0,798.0,6260.0,1296.0,4624.0,84.0,30.0,373.0,1460.0,0.11518788576048258,126.0,4278.0,7409.0,2538.0,4557.0,982.0,1505.0,1884.0,1217.0,206.0,464.0,3.0,308.0,64321.0,20.0,0.0,1,61133,54.78,82.05,20.27,47.33,9.95,16.79,86.91,54.85,16.88,11.39,2.72,0.62,2.09,5.01,0.94,5.47,7.16,12.48,9.5,5.25,5.32,1.96,18.72,4.29,1.85,1.56,1.07,1.94,4.96,3.03,1.86,0.51,0.31,0.56,14.29,0.36,0.24,3.42,3.09,11.78,2.95,0.95,1.58,3.09,1.8,3.13,3.92,1.41,1.79,0.67,2.21,0.93,0.77,0.04,0.47,6.4,1.54,0.82,2.73,1.17,0.53,7.64,8.77,1.35,13.8,2.57,7.44,4.11,1.43,0.58,0.61,0.38,0.23,0.2,0.87,0.03,0.02,0.48,0.4,0.01,29.53,9.08,6.62,0.26,0.06,1.2,0.32,2.21,0.07,9.67,0.03,0.0,Agatha Christie,63,1954,13355.0,133.55,0.20763047838186596,4234.0,42.34,0.0658260910122666,4755.0,47.55,0.0739260894575644,12683.0,126.83,0.1971828796194089,7556.0,0.11747329798977006,0.11518788576048258,0.06651015997885605
11,3066.0,18.0,18.0,4646.0,7131.0,1137.0,2054.0,833.0,5383.0,262.0,6.0,Ordeal by Innocence.txt,397.0,6679.0,3639.0,116.0,71.0,2201.0,0.0,1589.0,12.294744218640504,7970.0,3878.0,11.0,1802.0,301.0,92.0,1099.0,8775.0,1466.0,6056.0,85.0,17.0,480.0,1830.0,0.08559927597898177,207.0,3596.0,6337.0,3613.0,5988.0,1133.0,1813.0,2129.0,1300.0,236.0,618.0,13.0,398.0,74031.0,66.0,0.0,1,69009,30.82,83.41,15.73,38.39,9.6,13.43,89.52,57.77,20.03,13.51,3.49,0.55,2.66,6.02,0.79,6.5,5.66,11.91,11.23,5.74,5.63,2.9,22.11,3.89,1.68,1.83,0.9,1.82,5.57,3.12,2.41,0.54,0.76,0.49,16.64,0.85,0.14,3.5,4.03,13.9,3.37,1.09,2.02,3.16,2.09,3.72,4.41,1.31,2.38,0.69,1.6,0.69,0.56,0.06,0.2,5.9,1.46,0.67,2.47,1.13,0.58,9.54,9.86,1.28,12.42,2.35,6.26,4.16,1.13,0.45,0.67,0.42,0.1,0.52,1.05,0.04,0.03,0.47,0.5,0.04,32.76,9.35,6.73,0.25,0.06,1.51,0.29,2.44,0.2,11.87,0.05,0.0,Agatha Christie,67,1958,13661.0,136.61,0.1845308046629115,3826.0,38.26,0.051681052532047383,6150.0,61.5,0.08307330712809499,15976.0,159.76,0.21580148856560089,10241.0,0.13833394118680012,0.08559927597898177,0.04857424592400481
14,3324.0,15.0,15.0,4488.0,7688.0,963.0,2099.0,1098.0,6678.0,347.0,26.0,The Clocks.txt,284.0,7469.0,4008.0,152.0,71.0,2114.0,2.0,1515.0,12.130762238670302,9610.0,4207.0,6.0,2361.0,341.0,99.0,1161.0,8652.0,1341.0,5914.0,108.0,25.0,520.0,1756.0,0.09687405236025473,161.0,4484.0,7667.0,3454.0,5907.0,1108.0,1785.0,2398.0,1555.0,236.0,628.0,8.0,407.0,79144.0,54.0,0.0,1,74440,43.47,76.42,30.98,31.74,9.55,14.84,88.94,56.36,18.73,12.36,4.4,0.48,2.4,4.4,0.68,6.35,6.72,12.11,10.11,5.48,5.24,2.51,20.56,3.55,1.67,1.74,1.34,1.9,4.66,2.48,2.13,0.42,0.46,0.73,14.68,0.4,0.25,3.23,2.95,12.59,2.77,0.9,1.81,3.53,1.9,3.37,4.22,1.53,2.16,0.48,1.61,0.83,0.37,0.08,0.39,5.55,1.19,0.61,2.52,1.09,0.43,8.55,9.7,1.16,13.68,2.25,7.16,4.55,1.44,0.54,1.04,0.44,0.07,0.42,1.04,0.08,0.06,0.38,0.53,0.03,32.12,9.01,6.03,0.13,0.01,1.65,0.22,3.21,0.16,11.66,0.04,0.0,Agatha Christie,72,1963,16184.0,161.84,0.20448802183361972,4231.0,42.31,0.05345951683008188,6060.0,60.6,0.07656929141817446,16207.0,162.07,0.2047786313555039,9993.0,0.12626351966036592,0.09687405236025473,0.056656221570807644
5,2547.0,4.0,4.0,3551.0,6102.0,598.0,2118.0,673.0,4766.0,264.0,7.0,Endless Night.txt,295.0,6021.0,3116.0,129.0,83.0,2070.0,0.0,1667.0,12.834646962233169,6705.0,2450.0,20.0,1844.0,324.0,87.0,905.0,9449.0,1184.0,5570.0,63.0,21.0,388.0,1751.0,0.0837923949617366,100.0,3320.0,5628.0,3418.0,5531.0,1168.0,1382.0,2197.0,1100.0,210.0,484.0,6.0,444.0,67166.0,35.0,1.0,1,62225,22.71,67.99,45.05,48.3,10.17,11.96,91.36,59.7,22.45,15.61,7.01,1.11,2.56,4.23,0.71,6.81,5.39,12.01,11.35,5.96,6.05,3.02,23.16,4.09,1.96,1.78,1.05,2.27,4.82,3.0,1.79,0.55,0.38,0.28,14.91,0.66,0.17,3.36,2.07,14.03,3.16,1.12,2.18,3.71,1.69,3.84,4.47,1.54,2.41,0.47,1.45,0.58,0.51,0.07,0.25,6.0,2.05,0.6,1.92,1.3,0.51,9.69,9.99,1.62,12.66,2.35,6.29,4.28,0.89,0.46,0.71,0.88,0.09,0.26,0.84,0.03,0.03,0.29,0.46,0.06,30.08,8.86,5.71,0.17,0.01,1.15,0.19,1.61,0.14,12.22,0.01,0.0,Agatha Christie,76,1967,11019.0,110.19,0.16405621892028704,3328.0,33.28,0.04954887889706101,5704.0,57.04,0.08492391984039543,14796.0,147.96,0.22029002769258255,10633.0,0.15830926361551975,0.0837923949617366,0.04942977101509692
1,2281.0,7.0,7.0,4688.0,6748.0,787.0,2175.0,859.0,6189.0,291.0,11.0,Passenger to Frankfurt.txt,351.0,6982.0,4278.0,169.0,105.0,2028.0,0.0,1401.0,12.876759508834981,8339.0,4367.0,57.0,2900.0,280.0,106.0,801.0,7465.0,1285.0,5285.0,83.0,26.0,396.0,1761.0,0.11288293216630196,187.0,4711.0,8254.0,3072.0,4393.0,1227.0,1719.0,2532.0,1517.0,337.0,748.0,7.0,348.0,73120.0,55.0,0.0,1,69648,47.8,82.86,19.41,60.89,10.38,16.69,88.28,55.33,17.82,11.08,2.45,0.76,2.37,4.19,1.32,6.69,6.68,12.17,9.97,5.31,5.33,2.14,19.34,4.56,1.91,1.97,1.19,2.11,5.27,3.53,1.68,0.33,0.46,0.29,14.67,0.26,0.25,1.68,3.97,13.23,3.15,1.16,1.89,3.58,1.7,3.68,3.63,1.2,1.92,0.45,1.83,0.83,0.65,0.06,0.33,6.93,1.44,0.8,3.32,1.26,0.59,7.22,9.7,1.29,12.61,2.16,6.62,4.0,1.95,0.61,0.39,0.43,0.35,0.25,1.02,0.05,0.06,0.4,0.55,0.03,28.11,8.29,6.73,0.09,0.03,1.43,0.13,2.4,0.18,8.82,0.02,0.0,Agatha Christie,79,1970,15663.0,156.63,0.21420951859956236,4552.0,45.52,0.06225382932166302,5400.0,54.0,0.07385120350109409,14460.0,144.6,0.1977571115973742,8750.0,0.11966630196936542,0.11288293216630196,0.06442833698030634
6,2450.0,10.0,10.0,5047.0,6827.0,741.0,2508.0,1053.0,6495.0,336.0,4.0,Nemesis.txt,466.0,7521.0,4438.0,154.0,75.0,2365.0,2.0,1642.0,13.836219547989433,8739.0,5159.0,32.0,2557.0,324.0,91.0,836.0,8612.0,1365.0,6415.0,116.0,38.0,429.0,2171.0,0.0829486279868523,201.0,3853.0,6738.0,3706.0,6255.0,1233.0,2134.0,2329.0,1085.0,351.0,692.0,9.0,360.0,81231.0,52.0,0.0,1,77537,39.53,77.42,18.78,25.44,11.51,14.27,90.03,56.57,18.05,11.57,3.43,0.42,1.85,4.91,0.95,6.45,6.04,11.75,10.57,5.96,5.58,2.29,21.72,4.21,1.85,1.71,1.28,2.06,6.18,3.05,3.07,0.37,0.42,1.71,14.8,0.55,0.3,4.12,2.55,14.32,3.55,0.98,2.11,4.3,1.68,3.8,3.44,1.24,1.76,0.41,1.53,0.57,0.49,0.08,0.29,5.62,1.58,0.64,2.33,0.94,0.5,9.09,9.74,1.33,11.92,2.13,5.83,4.19,1.27,0.67,0.68,0.43,0.29,0.47,1.13,0.02,0.01,0.44,0.67,0.03,25.45,7.77,6.51,0.04,0.03,0.97,0.08,2.13,0.14,7.77,0.03,0.0,Agatha Christie,80,1971,16487.0,164.87,0.20296438551784418,4667.0,46.67,0.057453435264861935,6569.0,65.69,0.08086814147308294,16742.0,167.42,0.20610358114512933,9977.0,0.12282256773891741,0.0829486279868523,0.04743263039972424
4,2238.0,0.0,0.0,4266.0,5494.0,625.0,2168.0,940.0,4803.0,317.0,11.0,Elephants Can Remember.txt,350.0,5805.0,3147.0,113.0,45.0,2115.0,7.0,1282.0,13.821809488782641,6622.0,3163.0,8.0,2257.0,368.0,81.0,671.0,7432.0,1068.0,5089.0,93.0,23.0,277.0,1613.0,0.08251783178036866,277.0,3160.0,5287.0,3111.0,4791.0,839.0,1419.0,2523.0,1138.0,309.0,678.0,4.0,376.0,64071.0,40.0,0.0,1,60784,26.48,78.59,29.64,51.08,11.12,13.4,91.23,58.35,20.3,12.74,4.46,0.33,2.58,4.14,1.22,7.51,5.44,11.21,10.83,6.4,6.32,2.55,21.89,3.97,1.95,2.13,1.4,2.33,4.64,2.98,1.63,0.34,0.36,0.41,16.43,1.11,0.26,4.87,1.79,15.85,4.31,1.13,1.95,4.61,1.69,4.4,3.34,1.04,1.94,0.31,1.45,0.46,0.59,0.04,0.24,5.56,1.63,0.52,2.37,0.89,0.41,9.16,10.38,1.3,10.71,1.75,4.99,4.22,1.17,0.41,0.49,0.32,0.1,0.45,1.57,0.01,0.01,0.69,0.9,0.06,29.16,7.91,7.02,0.03,0.01,1.24,0.07,3.1,0.16,9.63,0.0,0.0,Agatha Christie,81,1972,12050.0,120.5,0.188072606951663,3305.0,33.05,0.05158339966599554,5231.0,52.31,0.0816438014078132,13821.0,138.21,0.21571381748372898,8500.0,0.1326653244057374,0.08251783178036866,0.0493202853084859
9,3600.0,5.0,5.0,5953.0,7545.0,747.0,2559.0,1177.0,6260.0,387.0,10.0,Postern of Fate.txt,364.0,7207.0,3992.0,126.0,90.0,2726.0,6.0,1537.0,12.89105626326964,8517.0,4391.0,34.0,3048.0,581.0,113.0,1096.0,8964.0,951.0,6539.0,101.0,27.0,551.0,1859.0,0.08633621691729783,415.0,4091.0,7056.0,3912.0,5572.0,1317.0,1689.0,3426.0,1802.0,339.0,795.0,7.0,409.0,81727.0,67.0,0.0,1,75966,33.42,81.09,34.5,60.74,10.04,14.17,89.37,56.67,19.39,11.32,3.52,0.87,2.86,3.0,1.07,8.03,5.83,11.83,10.59,6.59,5.68,2.35,22.46,4.01,1.89,2.03,1.26,2.41,4.32,3.07,1.22,0.17,0.29,0.25,14.57,0.37,0.27,1.95,2.12,14.68,3.68,1.03,1.92,4.71,1.73,3.6,4.24,1.27,2.54,0.41,1.45,0.51,0.44,0.03,0.46,5.75,1.6,0.6,2.01,1.39,0.49,8.71,11.31,1.36,12.73,2.18,6.36,4.37,1.24,0.77,0.78,0.36,0.11,0.33,1.93,0.02,0.11,0.68,1.19,0.09,34.39,8.6,7.84,0.04,0.02,1.36,0.1,3.03,0.19,13.2,0.01,0.0,Agatha Christie,82,1973,15990.0,159.9,0.19565137592227783,4208.0,42.08,0.05148849217516855,6714.0,67.14,0.08215155334222472,17718.0,177.18,0.216794939248963,9915.0,0.12131853610190023,0.08633621691729783,0.0500568967415909
10,1548.0,16.0,16.0,3030.0,5031.0,869.0,1571.0,554.0,4072.0,180.0,21.0,Curtain Poirot's Last Case.txt,291.0,4959.0,2968.0,90.0,74.0,1197.0,1.0,915.0,12.243065256435841,6344.0,2322.0,4.0,1324.0,184.0,45.0,571.0,6004.0,1217.0,4252.0,71.0,24.0,309.0,1184.0,0.1154915000862449,93.0,3691.0,6026.0,2155.0,4286.0,866.0,1315.0,1338.0,890.0,153.0,379.0,9.0,251.0,52177.0,29.0,0.0,1,49622,39.44,63.47,31.4,30.9,10.1,16.13,88.11,56.61,19.03,13.24,5.8,0.4,1.98,4.59,0.47,5.79,6.09,11.83,10.17,5.29,5.66,2.45,19.49,4.26,1.88,1.53,0.91,1.82,6.02,3.13,2.83,0.69,0.69,0.62,12.86,0.43,0.35,2.51,3.43,12.93,3.14,1.09,1.87,3.09,1.97,3.49,3.95,1.43,1.7,0.73,2.28,0.96,0.91,0.05,0.34,5.53,1.19,0.8,2.21,1.09,0.59,8.93,8.05,1.13,12.12,2.01,5.99,4.38,1.03,0.48,0.64,0.34,0.16,0.56,0.9,0.04,0.04,0.38,0.48,0.02,28.12,8.73,6.11,0.51,0.01,1.17,0.29,2.81,0.14,8.3,0.06,0.0,Agatha Christie,50,1975,9994.0,99.94,0.19154033386357974,3132.0,31.32,0.06002644843513425,4349.0,43.49,0.08335090173831382,10850.0,108.5,0.20794602985989996,7221.0,0.13839431166989286,0.1154915000862449,0.07073998121777794
