,'',(,),",",.,:,CC,CD,DT,EX,FW,Filename,Fillers,IN,JJ,JJR,JJS,LIVerbs,MD,MLU,NN,NNP,NNPS,NNS,NSNouns,PDT,POS,PRP,PRP$,RB,RBR,RBS,RP,TO,TTR,UH,UniqueStems,UniqueWords,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WP$,WRB,WordCount,``,$,LS,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP,Author,Approx Age at Composition,Year of Publication,Nouns,Nouns/100,NounsNormalised,Adjectives,Adjectives/100,AdjectivesNormalised,Adverbs,Adverbs/100,AdverbsNormalised,Verbs,Verbs/100,VerbsNormalised,Pronouns,PronounsNormalised,UniqueWordsNormalised,UniqueStemsNormalised
15,1816.0,9.0,9.0,4699.0,7578.0,455.0,3796.0,670.0,10021.0,330.0,18.0,Under The Net.txt,380.0,12172.0,5378.0,203.0,103.0,1872.0,1672.0,15.633643617021276,12736.0,4190.0,23.0,3156.0,316.0,100.0,494.0,11063.0,1937.0,6820.0,174.0,36.0,734.0,2681.0,0.08511223435025463,90.0,5791.0,8975.0,4302.0,9171.0,2019.0,2247.0,1666.0,1246.0,684.0,632.0,22.0,614.0,105449.0,1799.0,0.0,0.0,1,99805,63.26,47.56,65.14,33.23,13.28,14.56,86.91,57.56,17.27,11.35,6.67,0.8,1.0,2.34,0.54,5.9,7.77,14.66,8.38,4.91,6.44,1.64,17.53,4.0,2.16,1.92,1.18,1.9,3.8,2.09,1.66,0.44,0.33,0.4,8.83,0.06,0.15,1.14,1.69,10.93,2.37,1.01,1.78,2.74,1.54,2.89,4.65,1.84,1.85,0.87,1.98,1.14,0.43,0.05,0.38,5.08,1.31,0.81,1.88,0.96,0.51,8.97,6.26,1.12,15.52,2.27,8.59,4.99,1.13,0.76,0.76,0.48,0.16,0.07,0.43,0.04,0.04,0.13,0.21,0.03,18.73,6.78,4.71,0.08,0.33,0.59,0.29,0.52,3.61,1.79,0.02,0.02,Iris Murdoch,35,1954,20105.0,201.05,0.19066088820187957,5684.0,56.84,0.05390283454560973,7030.0,70.3,0.06666729888382061,20651.0,206.51,0.195838746692714,13000.0,0.12328234501986743,0.08511223435025463,0.05491754307769633
19,2589.0,3.0,3.0,6226.0,8582.0,425.0,3756.0,915.0,10047.0,270.0,17.0,The Flight From The Enchanter.txt,406.0,12642.0,5918.0,200.0,94.0,1758.0,1512.0,14.715137346580947,14295.0,6224.0,21.0,3379.0,255.0,99.0,1134.0,9267.0,2843.0,7495.0,138.0,27.0,749.0,2972.0,0.0845841108436776,69.0,5599.0,9383.0,4115.0,10359.0,2230.0,2707.0,1655.0,1001.0,758.0,621.0,44.0,471.0,110931.0,15.0,0.0,1.0,1,106788,70.14,82.56,12.12,22.46,12.43,16.77,85.37,54.82,15.49,10.22,1.34,0.37,0.99,6.82,0.69,5.27,7.54,14.62,7.94,4.65,6.01,1.62,17.65,3.96,1.99,1.85,1.0,1.56,4.36,2.04,2.26,0.52,0.41,0.83,13.59,0.27,0.13,4.33,3.28,10.05,2.39,0.96,1.64,2.3,1.41,2.59,5.32,2.15,2.05,1.05,2.41,1.59,0.41,0.07,0.34,4.73,1.08,0.78,2.14,0.75,0.37,9.41,6.03,1.06,16.13,2.59,8.65,5.25,1.16,0.51,0.87,0.33,0.17,0.13,0.43,0.03,0.02,0.16,0.22,0.01,20.83,7.08,5.83,0.04,0.2,0.56,0.47,0.73,0.03,5.88,0.01,0.0,Iris Murdoch,36,1955,23919.0,239.19,0.21562052086432107,6212.0,62.12,0.05599877401267454,7660.0,76.6,0.06905193318369077,22067.0,220.67,0.19892545816768983,12110.0,0.109166959641579,0.0845841108436776,0.05047281643544185
13,1451.0,6.0,6.0,6536.0,7900.0,452.0,4392.0,695.0,11934.0,300.0,5.0,The Bell.txt,483.0,14007.0,7286.0,264.0,119.0,1980.0,1789.0,16.898690733443498,16454.0,5544.0,5.0,3276.0,324.0,108.0,893.0,9055.0,2737.0,8197.0,219.0,38.0,699.0,3436.0,0.08351110659623459,48.0,5949.0,9865.0,4573.0,10632.0,2563.0,3203.0,1280.0,900.0,734.0,612.0,35.0,549.0,118128.0,10.0,0.0,0.0,1,115245,77.27,79.08,13.34,38.78,14.63,17.22,85.31,54.89,13.95,8.92,0.93,0.43,0.68,6.22,0.66,5.02,8.68,15.0,7.93,4.77,6.05,1.45,16.55,4.52,2.09,1.66,0.89,1.66,4.82,2.73,2.0,0.61,0.32,0.47,11.95,0.21,0.14,2.66,4.2,10.56,2.62,0.99,1.76,2.55,1.43,2.56,4.68,1.97,1.49,1.04,2.09,1.17,0.35,0.07,0.45,5.23,1.22,0.85,2.11,0.93,0.49,9.0,5.34,1.03,16.2,2.66,8.8,5.18,0.89,0.57,0.68,0.24,0.56,0.12,0.39,0.03,0.01,0.13,0.2,0.02,17.05,6.35,5.67,0.1,0.24,0.35,0.16,0.47,0.02,3.68,0.01,0.0,Iris Murdoch,39,1958,25279.0,252.79,0.21399668156575918,7669.0,76.69,0.06492110253284572,8454.0,84.54,0.07156643640796424,23151.0,231.51,0.19598232425843154,11792.0,0.09982391981579304,0.08351110659623459,0.050360625761885415
18,1817.0,4.0,4.0,4481.0,5887.0,283.0,2820.0,482.0,6109.0,182.0,7.0,A Severed Head.txt,363.0,8447.0,4669.0,158.0,97.0,1567.0,1338.0,14.91175468483816,9333.0,2500.0,4.0,1800.0,226.0,70.0,684.0,9088.0,2077.0,5781.0,135.0,15.0,434.0,2017.0,0.09897949850387425,61.0,4714.0,7575.0,3243.0,6688.0,1489.0,1860.0,1588.0,760.0,452.0,305.0,19.0,337.0,76531.0,7.0,0.0,0.0,1,74052,48.5,53.2,56.8,41.62,12.62,16.45,88.06,57.93,18.92,13.9,7.38,0.73,1.89,3.51,0.39,5.02,6.25,13.8,8.83,5.23,6.53,2.02,18.03,4.51,2.18,1.57,0.8,1.82,5.55,3.18,2.31,0.6,0.45,0.57,10.77,0.35,0.19,2.96,0.99,11.69,2.72,0.95,2.02,2.75,1.76,3.14,5.43,2.03,1.92,1.3,2.63,1.4,0.52,0.1,0.42,5.2,1.74,0.91,1.81,0.97,0.38,8.76,6.79,1.12,14.31,2.21,7.75,4.74,0.71,0.54,0.73,0.25,0.24,0.16,0.59,0.05,0.0,0.22,0.29,0.04,20.91,7.19,6.05,0.1,0.23,0.56,0.21,0.55,0.02,5.98,0.01,0.0,Iris Murdoch,42,1961,13637.0,136.37,0.17818923050789875,4924.0,49.24,0.0643399406776339,5931.0,59.31,0.07749800734342946,15628.0,156.28,0.20420483202885106,11165.0,0.14588859416445624,0.09897949850387425,0.06159595458049679
8,2412.0,11.0,11.0,7182.0,8829.0,626.0,4053.0,695.0,9267.0,322.0,19.0,An Unofficial Rose.txt,522.0,12767.0,7013.0,237.0,112.0,2196.0,2047.0,14.960168430636166,14199.0,5427.0,6.0,2865.0,345.0,102.0,1216.0,11563.0,3017.0,8940.0,196.0,33.0,638.0,2860.0,0.0866064106367015,123.0,5879.0,9927.0,4643.0,10211.0,2118.0,3151.0,1778.0,1019.0,630.0,522.0,22.0,552.0,114622.0,20.0,0.0,1.0,1,110349,54.8,80.82,6.5,36.67,12.57,17.09,85.96,56.37,16.9,11.92,1.81,0.23,1.36,7.97,0.55,4.96,6.57,13.84,9.09,5.38,6.25,2.05,17.82,4.44,2.17,1.61,0.73,1.76,5.43,2.99,2.37,0.62,0.44,0.64,14.22,0.42,0.18,3.78,4.77,12.1,2.84,1.02,2.13,2.92,1.72,3.18,4.83,1.98,1.6,1.08,2.24,1.09,0.39,0.16,0.4,4.69,1.19,0.7,1.78,0.96,0.46,9.14,6.19,1.15,14.18,2.27,7.23,5.11,0.72,0.47,0.65,0.29,0.29,0.21,0.62,0.05,0.01,0.25,0.33,0.03,21.9,7.03,6.51,0.11,0.24,0.71,0.27,0.9,0.05,6.06,0.02,0.0,Iris Murdoch,43,1962,22497.0,224.97,0.19627122192947252,7362.0,73.62,0.06422850761633893,9169.0,91.69,0.07999336951021618,22920.0,229.2,0.1999616129538832,14580.0,0.1272007119052189,0.0866064106367015,0.0512903282092443
2,1667.0,11.0,11.0,5320.0,7891.0,533.0,3556.0,618.0,8549.0,375.0,14.0,The Unicorn.txt,311.0,10380.0,6240.0,182.0,79.0,1945.0,1660.0,13.901891102931843,12254.0,3785.0,15.0,2480.0,270.0,77.0,861.0,9166.0,2191.0,7565.0,157.0,20.0,591.0,2420.0,0.08734122870396549,89.0,5060.0,8341.0,3988.0,8061.0,2003.0,2672.0,1630.0,1036.0,445.0,494.0,12.0,422.0,95499.0,12.0,1.0,0.0,1,92708,60.33,77.91,15.04,27.01,11.78,15.34,86.65,56.39,15.75,11.02,1.74,0.4,1.26,6.93,0.69,4.72,7.36,13.81,9.18,5.43,6.2,1.9,17.96,4.56,2.04,1.54,0.83,1.75,4.9,2.45,2.37,0.68,0.4,0.69,12.73,0.14,0.1,3.84,3.65,11.33,2.67,0.86,1.89,2.97,1.56,3.03,4.88,2.41,1.23,1.11,2.15,1.24,0.43,0.06,0.29,4.82,1.18,0.69,1.94,0.91,0.43,8.72,6.81,1.26,16.18,2.92,8.38,5.41,0.57,0.64,0.9,0.16,0.28,0.18,0.54,0.04,0.02,0.23,0.24,0.04,20.92,7.61,5.74,0.07,0.17,0.72,0.18,1.16,0.03,5.21,0.02,0.0,Iris Murdoch,44,1963,18534.0,185.34,0.19407533063173438,6501.0,65.01,0.06807401124619106,7742.0,77.42,0.08106891171635305,19390.0,193.9,0.20303877527513378,11357.0,0.11892271123257835,0.08734122870396549,0.052984848008879676
11,1031.0,0.0,0.0,2708.0,4277.0,330.0,1726.0,377.0,4432.0,143.0,2.0,The Italian Girl.txt,183.0,5266.0,3247.0,101.0,34.0,977.0,942.0,13.370344342937456,6511.0,1419.0,3.0,1295.0,132.0,49.0,537.0,5755.0,1254.0,3720.0,90.0,9.0,276.0,1067.0,0.12241157038111353,98.0,4032.0,6077.0,2008.0,4024.0,888.0,1211.0,1077.0,525.0,223.0,196.0,6.0,208.0,49644.0,12.0,0.0,1.0,1,47759,53.11,54.6,46.71,21.77,11.2,13.88,87.57,57.28,18.15,13.48,6.64,0.62,1.74,4.12,0.36,4.65,7.27,13.16,9.09,5.19,5.88,1.98,17.48,4.47,2.12,1.36,0.8,1.69,5.14,2.41,2.67,0.63,0.53,0.71,10.44,0.47,0.06,2.97,1.95,11.37,2.64,0.91,1.99,2.77,1.64,2.96,5.09,2.25,1.26,1.35,2.72,1.6,0.55,0.1,0.43,4.65,1.22,0.64,1.98,0.76,0.46,8.25,7.12,1.17,14.38,2.41,7.82,4.53,0.57,0.52,0.83,0.23,0.35,0.27,0.82,0.06,0.01,0.37,0.39,0.03,22.68,7.86,5.67,0.09,0.07,0.84,0.26,1.51,0.05,6.32,0.0,0.0,Iris Murdoch,45,1964,9228.0,92.28,0.18588349045201838,3382.0,33.82,0.0681250503585529,3819.0,38.19,0.07692772540488277,9733.0,97.33,0.1960559181371364,7009.0,0.14118523890097495,0.12241157038111353,0.08121827411167512
0,2010.0,2.0,2.0,3936.0,7290.0,340.0,2672.0,258.0,7371.0,299.0,5.0,The Time Of The Angels.txt,370.0,8719.0,5200.0,167.0,67.0,1600.0,1454.0,13.32810133553628,10839.0,3738.0,12.0,2035.0,272.0,84.0,442.0,8307.0,2247.0,6442.0,129.0,17.0,410.0,2039.0,0.09157551916140404,227.0,5031.0,7845.0,3432.0,6716.0,1493.0,2456.0,1694.0,1114.0,469.0,467.0,21.0,390.0,85667.0,1790.0,0.0,0.0,1,79854,54.72,77.98,8.97,30.26,10.99,15.71,86.48,56.37,16.8,11.41,2.19,0.28,1.6,6.77,0.57,5.38,7.25,13.22,9.78,5.52,5.52,2.15,18.02,4.47,2.01,1.63,0.69,1.77,5.17,2.68,2.41,0.62,0.41,0.68,13.18,0.49,0.13,3.95,3.6,11.87,2.78,1.0,2.06,2.8,1.82,2.96,4.66,2.01,1.27,1.26,2.28,1.25,0.5,0.08,0.31,4.74,1.13,0.72,1.85,0.89,0.5,8.58,7.06,1.1,13.84,2.13,7.61,4.42,0.89,0.42,0.76,0.29,0.54,0.16,0.7,0.04,0.03,0.23,0.37,0.03,22.32,8.03,4.93,0.01,0.03,0.96,0.16,1.04,4.74,2.42,0.01,0.0,Iris Murdoch,47,1966,16624.0,166.24,0.19405371963533216,5434.0,54.34,0.06343165979898911,6588.0,65.88,0.0769024245041848,16905.0,169.05,0.19733386251415364,10554.0,0.12319796421025599,0.09157551916140404,0.05872739794786791
1,3214.0,22.0,22.0,7410.0,10243.0,588.0,4165.0,544.0,10974.0,410.0,11.0,The Nice And The Good.txt,540.0,13225.0,7939.0,220.0,147.0,2753.0,2319.0,14.540940254652302,15975.0,6113.0,7.0,3122.0,481.0,107.0,801.0,12956.0,2736.0,9821.0,204.0,32.0,789.0,3262.0,0.0738920016488298,364.0,6170.0,9680.0,5758.0,9555.0,2550.0,3166.0,2934.0,1764.0,679.0,760.0,24.0,631.0,131002.0,2900.0,0.0,0.0,1,121092,54.78,74.69,17.54,36.06,11.82,16.11,85.99,55.96,16.78,11.31,2.92,0.42,1.77,5.66,0.55,5.46,6.93,13.46,9.59,5.42,5.65,2.22,18.33,4.34,1.88,1.72,0.78,1.74,5.08,2.81,2.22,0.52,0.47,0.55,12.74,0.23,0.19,2.24,4.21,12.2,3.06,1.07,1.91,2.99,1.69,3.07,4.66,1.9,1.27,1.28,2.43,1.29,0.46,0.1,0.39,4.96,1.24,0.64,2.15,0.81,0.43,7.97,7.74,1.21,13.93,2.35,7.71,4.31,0.83,0.55,0.64,0.24,0.3,0.25,0.75,0.08,0.02,0.24,0.37,0.03,23.81,7.38,6.12,0.03,0.03,0.94,0.23,1.12,5.01,2.9,0.04,0.0,Iris Murdoch,49,1968,25217.0,252.17,0.19249324437794843,8306.0,83.06,0.063403612158593,10057.0,100.57,0.0767698203080869,25727.0,257.27,0.19638631471275247,15692.0,0.11978443077204928,0.0738920016488298,0.04709851757988428
