,Filename,TTR,WordCount,UniqueWords,MLU,Fillers,NSNouns,LIVerbs,",",.,:,CC,CD,DT,EX,IN,JJ,JJR,JJS,MD,NN,NNP,NNPS,NNS,POS,PRP,PRP$,RB,RBR,RBS,RP,TO,UH,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WRB,'',``,$,FW,PDT,WP$,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
0,Trump - Speech15 - Edited.txt,0.3441208198489752,927.0,319.0,12.647058823529411,1.0,6.0,55.0,63.0,85.0,1.0,34.0,4.0,80.0,3.0,94.0,53.0,1.0,3.0,33.0,73.0,60.0,2.0,29.0,1.0,115.0,6.0,74.0,2.0,1.0,2.0,22.0,4.0,69.0,11.0,20.0,20.0,64.0,32.0,4.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1,899,30.08,81.92,50.16,75.34,10.58,16.02,92.44,60.51,19.13,11.46,4.12,4.0,2.45,0.11,0.78,7.68,7.56,11.12,14.68,4.89,6.34,1.89,24.58,5.23,2.34,1.11,0.78,1.89,6.56,4.45,1.78,0.67,0.44,0.11,12.35,0.0,0.11,0.0,0.33,15.35,4.23,1.22,3.34,3.78,2.34,3.67,2.11,1.22,0.78,0.11,0.0,0.0,0.0,0.0,0.0,12.57,5.23,2.78,3.0,2.11,1.0,3.67,17.13,2.45,12.46,2.11,5.34,5.23,1.78,0.0,0.11,0.78,0.0,0.22,1.45,0.0,0.22,0.78,0.44,0.0,21.13,9.23,7.01,0.0,0.11,0.67,0.0,0.0,0.0,3.89,0.0,0.22
1,Trump - Speech7 - Edited.txt,0.3479212253829322,914.0,318.0,13.947368421052632,2.0,4.0,46.0,70.0,76.0,0.0,45.0,10.0,79.0,3.0,75.0,60.0,4.0,2.0,25.0,82.0,45.0,2.0,28.0,0.0,125.0,6.0,61.0,0.0,0.0,3.0,21.0,1.0,52.0,30.0,26.0,23.0,59.0,25.0,6.0,7.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1,892,14.14,65.69,61.54,37.68,11.74,11.88,91.48,61.55,20.74,12.0,6.17,1.79,3.03,0.22,0.78,8.74,6.5,9.3,15.13,5.94,8.18,1.79,24.22,4.6,2.58,2.35,1.35,3.14,7.29,3.92,3.25,0.78,1.23,0.22,10.76,0.34,0.0,0.0,0.22,10.65,1.68,1.79,1.01,1.91,1.68,3.59,3.7,1.12,1.68,0.9,0.22,0.0,0.0,0.0,0.0,7.96,2.35,1.12,3.14,0.9,1.01,6.05,14.24,3.25,12.56,1.46,6.5,4.93,1.91,0.0,0.11,0.34,0.0,0.22,0.67,0.0,0.0,0.34,0.34,0.0,20.52,7.96,7.85,0.0,0.0,0.56,0.0,0.11,0.0,4.04,0.0,0.0
2,Trump - Speech12 - Edited.txt,0.34522560335781743,953.0,329.0,13.107142857142858,1.0,4.0,36.0,63.0,84.0,2.0,40.0,11.0,117.0,0.0,99.0,62.0,1.0,3.0,20.0,112.0,43.0,0.0,28.0,0.0,99.0,6.0,82.0,0.0,2.0,1.0,15.0,3.0,39.0,36.0,18.0,17.0,48.0,29.0,12.0,6.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1,925,40.17,80.03,36.43,93.46,11.01,13.3,94.16,59.46,18.16,10.16,3.57,2.16,2.27,1.62,0.54,8.0,9.3,10.81,11.68,6.49,6.7,1.51,20.76,5.73,1.41,0.76,2.16,2.59,6.38,5.19,0.86,0.0,0.11,0.0,12.43,0.32,0.0,0.54,1.73,11.24,2.59,0.97,1.08,4.0,0.86,3.35,2.81,1.3,0.65,0.86,0.22,0.0,0.11,0.0,0.11,10.59,2.49,1.41,3.46,2.7,0.97,4.54,12.97,2.81,12.11,2.27,5.41,5.08,4.54,0.0,0.11,0.32,0.0,0.32,0.76,0.0,0.0,0.43,0.32,0.0,21.62,9.19,6.81,0.11,0.11,0.22,0.0,0.76,0.22,4.22,0.0,0.0
3,Trump - Speech24 - Edited.txt,0.23968835930339139,2182.0,523.0,13.765027322404372,18.0,3.0,92.0,152.0,183.0,22.0,108.0,30.0,174.0,7.0,197.0,116.0,9.0,6.0,35.0,186.0,97.0,6.0,79.0,0.0,288.0,25.0,208.0,4.0,0.0,10.0,49.0,3.0,100.0,28.0,63.0,48.0,176.0,70.0,5.0,6.0,9.0,6.0,6.0,8.0,0.0,0.0,0.0,1,2040,20.76,80.17,47.91,85.67,11.15,14.22,91.03,60.44,19.22,12.4,3.73,5.29,1.27,0.15,1.96,6.81,5.49,11.52,12.89,6.96,8.09,2.21,22.84,4.66,2.16,0.88,2.01,3.14,6.18,4.71,1.27,0.05,0.29,0.44,12.3,0.0,0.15,0.0,0.15,13.04,2.84,1.47,1.52,1.96,1.57,4.46,2.11,1.13,0.54,0.29,0.05,0.0,0.0,0.0,0.0,12.06,6.23,1.52,2.45,1.96,1.03,3.73,15.88,2.3,11.32,1.86,7.06,2.55,3.38,0.0,0.49,1.37,0.1,0.1,0.83,0.0,0.0,0.15,0.69,0.0,24.56,8.82,7.45,0.1,0.25,0.15,0.0,1.62,0.59,5.2,0.0,0.39
4,Trump - Speech23 - Edited.txt,0.25366262034323983,2389.0,606.0,14.655913978494624,6.0,11.0,125.0,149.0,186.0,7.0,107.0,15.0,220.0,5.0,224.0,142.0,11.0,3.0,53.0,231.0,122.0,12.0,94.0,4.0,272.0,18.0,172.0,2.0,0.0,11.0,85.0,3.0,145.0,45.0,59.0,42.0,147.0,82.0,18.0,11.0,16.0,5.0,5.0,0.0,1.0,2.0,0.0,1,2294,34.45,84.93,25.71,73.04,12.27,13.91,90.98,59.94,17.96,10.51,2.62,3.01,1.87,1.61,1.39,7.45,6.97,12.55,12.99,6.1,7.06,1.96,22.76,4.71,2.09,1.22,1.05,1.92,5.93,4.14,1.61,0.09,0.44,0.0,13.56,0.17,0.13,0.7,1.31,11.38,1.96,1.53,2.01,2.4,1.35,3.53,1.44,0.52,0.74,0.17,0.57,0.0,0.22,0.0,0.0,11.2,4.14,1.48,3.14,2.31,0.78,3.53,16.22,2.48,12.6,2.09,7.06,3.49,2.66,0.17,0.22,1.05,0.17,0.17,0.74,0.0,0.0,0.31,0.35,0.0,20.92,7.93,6.5,0.09,0.22,0.31,0.0,0.44,0.44,5.01,0.0,0.0
5,Trump - Speech1 - Edited.txt,0.281437125748503,1503.0,423.0,17.1,6.0,8.0,70.0,107.0,100.0,0.0,81.0,4.0,128.0,1.0,150.0,85.0,0.0,1.0,39.0,121.0,75.0,3.0,55.0,3.0,197.0,19.0,119.0,2.0,0.0,8.0,39.0,0.0,86.0,44.0,51.0,20.0,103.0,33.0,7.0,12.0,14.0,0.0,0.0,1.0,0.0,2.0,0.0,1,1453,20.23,79.93,54.51,83.33,14.53,15.55,91.81,62.08,21.4,14.11,5.99,3.72,2.55,0.89,0.96,7.3,6.33,11.63,12.8,5.99,8.33,2.06,23.68,4.4,1.45,1.86,0.55,2.41,5.51,4.27,1.03,0.07,0.07,0.21,14.11,0.14,0.07,0.07,0.89,12.04,3.1,1.31,1.45,2.34,1.38,3.92,1.86,0.69,0.76,0.34,0.28,0.0,0.14,0.0,0.07,11.22,5.44,1.58,2.27,1.93,0.76,3.99,15.07,3.44,11.01,2.48,5.64,3.1,2.13,0.07,0.07,0.62,0.21,0.0,0.69,0.0,0.0,0.41,0.28,0.0,19.13,6.61,7.36,0.0,0.0,0.28,0.0,0.0,0.0,4.54,0.0,0.34
6,Trump - Speech13 - Edited.txt,0.3666044776119403,1072.0,393.0,13.797752808988765,3.0,3.0,59.0,66.0,89.0,5.0,42.0,16.0,94.0,0.0,106.0,65.0,2.0,0.0,22.0,90.0,71.0,4.0,39.0,0.0,131.0,6.0,82.0,1.0,0.0,6.0,32.0,1.0,58.0,32.0,25.0,18.0,64.0,34.0,10.0,13.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1038,33.84,77.96,42.37,67.64,11.66,13.97,90.27,59.83,19.56,11.56,3.85,2.6,2.89,1.16,1.06,8.0,6.45,12.33,12.72,5.78,5.78,1.73,23.6,4.72,1.45,2.12,1.73,1.73,6.36,4.24,2.02,0.29,0.29,0.67,11.56,0.0,0.0,0.0,1.16,11.27,2.02,1.54,1.25,2.6,1.16,3.76,2.02,0.96,0.77,0.29,0.67,0.0,0.67,0.0,0.0,8.77,2.89,1.06,2.7,1.83,0.87,4.91,15.41,2.22,12.62,1.73,6.84,4.05,1.54,0.0,0.1,0.1,0.1,0.1,0.67,0.0,0.1,0.39,0.19,0.0,19.56,8.48,6.36,0.1,0.39,0.39,0.0,0.0,0.0,3.66,0.0,0.19
7,Trump - Speech6 - Edited.txt,0.3118022328548644,1254.0,391.0,14.098039215686274,8.0,7.0,73.0,82.0,102.0,8.0,50.0,7.0,113.0,1.0,97.0,74.0,8.0,5.0,27.0,124.0,43.0,7.0,47.0,0.0,151.0,9.0,137.0,0.0,0.0,4.0,35.0,2.0,62.0,18.0,33.0,24.0,90.0,43.0,8.0,3.0,6.0,9.0,7.0,1.0,1.0,0.0,0.0,1,1185,25.01,80.76,46.71,96.36,11.62,14.6,91.56,61.6,17.89,11.39,4.05,4.14,2.53,0.0,0.68,6.5,7.76,10.55,13.92,8.44,6.24,2.19,23.04,5.49,2.45,0.93,1.01,3.38,7.51,6.16,1.27,0.08,0.08,0.51,11.98,0.0,0.08,0.17,0.0,12.07,2.03,0.68,1.35,3.29,2.11,3.63,1.6,0.84,0.68,0.08,0.34,0.0,0.25,0.08,0.0,11.39,5.32,1.43,3.46,1.77,0.84,3.12,16.79,3.97,12.15,2.78,5.82,3.88,3.97,0.42,0.08,1.6,0.0,0.0,1.52,0.08,0.34,0.51,0.59,0.0,22.53,8.35,6.92,0.0,0.68,0.25,0.0,0.08,1.35,4.89,0.0,0.0
8,Trump - Speech14 - Edited.txt,0.2749326145552561,2226.0,612.0,14.032608695652174,9.0,8.0,88.0,169.0,184.0,4.0,86.0,34.0,203.0,1.0,238.0,145.0,5.0,7.0,58.0,215.0,155.0,5.0,74.0,1.0,249.0,18.0,178.0,0.0,0.0,3.0,47.0,7.0,99.0,62.0,45.0,49.0,123.0,75.0,10.0,16.0,9.0,4.0,4.0,0.0,0.0,0.0,0.0,1,2163,42.8,81.26,31.31,79.01,11.76,16.78,87.93,57.79,17.38,10.36,3.24,2.64,2.68,0.88,0.92,7.03,7.86,12.16,11.93,6.61,6.61,0.97,20.39,5.18,2.36,1.2,1.94,2.59,5.64,4.25,1.34,0.23,0.37,0.18,11.05,0.05,0.09,0.09,0.83,12.39,3.01,0.74,2.68,3.05,1.66,3.28,1.66,0.46,0.92,0.23,0.69,0.0,0.51,0.0,0.05,9.94,3.56,0.74,3.14,1.94,1.06,3.7,13.18,3.28,12.11,2.27,6.24,3.98,1.94,0.05,0.0,1.25,0.0,0.09,1.02,0.0,0.0,0.69,0.32,0.0,21.08,7.91,7.81,0.14,0.05,0.65,0.0,0.23,0.37,3.79,0.0,0.14
9,Trump - Speech22 - Edited.txt,0.32002851033499646,1403.0,449.0,13.235772357723578,2.0,5.0,40.0,97.0,123.0,8.0,64.0,7.0,154.0,6.0,143.0,77.0,6.0,2.0,26.0,166.0,69.0,11.0,40.0,1.0,151.0,19.0,101.0,3.0,0.0,9.0,30.0,1.0,60.0,49.0,33.0,22.0,79.0,45.0,6.0,7.0,9.0,1.0,1.0,0.0,0.0,2.0,0.0,1,1356,32.36,70.24,35.71,90.38,11.02,14.82,90.12,60.77,19.1,10.1,3.32,3.54,1.7,0.44,1.11,9.0,7.45,12.09,11.8,6.27,7.23,2.51,20.72,4.28,1.99,1.33,0.59,3.17,7.45,5.68,1.77,0.0,0.15,0.29,10.03,0.0,0.0,0.29,0.22,13.5,2.43,1.18,2.21,3.24,1.62,4.13,2.51,0.74,1.18,0.29,0.44,0.0,0.15,0.0,0.15,11.65,3.69,2.06,3.32,2.14,1.33,4.79,13.5,1.77,11.58,1.47,6.86,3.24,2.58,0.15,0.07,0.44,0.07,0.07,0.81,0.0,0.0,0.44,0.37,0.0,21.31,8.48,7.15,0.37,0.22,0.59,0.0,0.07,0.15,4.13,0.0,0.15
10,Trump - Speech25 - Edited.txt,0.25740181268882173,3310.0,852.0,14.306818181818182,9.0,7.0,136.0,200.0,264.0,5.0,140.0,34.0,273.0,4.0,355.0,212.0,4.0,7.0,87.0,322.0,236.0,15.0,108.0,10.0,365.0,48.0,226.0,1.0,0.0,14.0,97.0,5.0,177.0,75.0,69.0,80.0,175.0,88.0,14.0,25.0,9.0,13.0,13.0,7.0,0.0,0.0,0.0,1,3194,42.81,83.41,26.61,83.21,12.14,15.78,88.76,58.48,17.97,11.43,3.38,3.6,1.66,1.22,1.57,6.54,6.7,13.31,12.05,4.79,6.92,1.75,20.57,4.16,1.78,1.35,1.38,1.94,6.54,4.82,1.6,0.38,0.69,0.09,12.87,0.13,0.19,0.0,1.6,11.49,1.94,1.22,2.54,1.82,1.85,3.29,1.75,0.44,1.03,0.13,0.56,0.16,0.31,0.0,0.03,11.83,4.54,1.47,4.07,1.78,0.85,4.1,12.52,2.32,12.4,1.6,6.54,4.26,3.1,0.19,0.34,0.91,0.06,0.28,0.69,0.0,0.0,0.34,0.34,0.0,20.44,7.92,6.26,0.09,0.06,0.53,0.0,0.34,0.81,4.07,0.0,0.34
11,Trump - Speech28 - Edited.txt,0.1871803614047051,2933.0,549.0,11.632302405498281,16.0,12.0,137.0,159.0,291.0,44.0,108.0,41.0,237.0,3.0,241.0,152.0,2.0,5.0,78.0,229.0,115.0,5.0,94.0,0.0,427.0,21.0,225.0,0.0,1.0,20.0,94.0,6.0,190.0,77.0,98.0,45.0,229.0,99.0,8.0,17.0,20.0,0.0,0.0,4.0,0.0,0.0,0.0,1,2706,19.92,83.36,54.59,85.32,9.3,12.49,92.68,61.49,20.99,13.3,4.55,4.58,2.37,0.41,1.4,7.69,6.25,11.9,14.19,6.5,6.47,2.77,27.24,3.25,1.07,1.4,1.63,1.7,5.28,4.32,0.92,0.18,0.3,0.22,14.23,0.07,0.18,0.0,0.55,14.08,2.85,1.55,2.33,2.48,1.44,4.18,2.25,1.59,0.63,0.04,0.22,0.0,0.0,0.0,0.0,11.09,5.62,1.18,2.62,2.4,0.37,4.62,18.11,3.4,12.86,2.7,6.06,4.25,2.88,0.07,0.15,1.07,0.0,0.18,1.0,0.0,0.0,0.33,0.63,0.0,26.94,9.9,5.91,0.07,0.15,0.85,0.0,2.99,0.0,6.76,0.0,0.3
12,Trump - Speech19 - Edited.txt,0.33250414593698174,1206.0,401.0,18.472972972972972,1.0,5.0,49.0,87.0,74.0,3.0,49.0,10.0,110.0,0.0,131.0,83.0,4.0,5.0,32.0,114.0,40.0,8.0,49.0,2.0,140.0,13.0,103.0,2.0,0.0,6.0,23.0,1.0,61.0,22.0,21.0,31.0,68.0,49.0,10.0,6.0,6.0,1.0,1.0,2.0,0.0,0.0,0.0,1,1179,25.24,78.74,34.81,54.51,15.93,15.69,91.18,61.83,19.17,9.75,2.71,2.54,2.37,0.93,1.19,9.41,6.87,11.79,13.57,6.7,8.4,1.1,21.63,5.43,3.14,1.36,1.7,3.31,5.09,3.22,1.7,0.08,0.17,0.51,11.45,0.08,0.17,0.0,1.02,13.06,2.12,1.1,2.63,3.65,0.93,4.58,1.95,1.19,0.76,0.0,0.34,0.0,0.34,0.0,0.0,7.8,2.97,1.27,2.37,1.36,0.68,4.33,14.76,2.21,12.81,1.95,6.53,4.5,2.21,0.0,0.0,1.44,0.25,0.08,0.25,0.0,0.0,0.0,0.25,0.0,18.49,6.19,7.38,0.0,0.25,0.08,0.0,0.42,0.17,3.82,0.0,0.17
13,Trump - Speech29 - Edited.txt,0.2825040128410915,2492.0,704.0,13.236966824644549,7.0,9.0,88.0,89.0,211.0,1.0,82.0,28.0,240.0,10.0,258.0,156.0,5.0,5.0,45.0,291.0,146.0,16.0,96.0,0.0,257.0,34.0,182.0,2.0,4.0,7.0,79.0,1.0,121.0,96.0,48.0,44.0,135.0,64.0,7.0,12.0,19.0,0.0,0.0,0.0,0.0,2.0,0.0,1,2374,49.56,79.66,42.87,87.72,11.15,18.11,89.55,57.29,16.81,10.15,3.92,3.83,1.1,0.38,0.93,6.66,7.03,13.06,11.2,6.19,5.52,1.47,19.67,3.62,1.81,1.39,1.6,2.78,6.99,5.31,1.68,0.38,0.55,0.13,11.5,0.04,0.0,0.08,0.42,11.67,2.95,1.26,1.64,2.36,1.94,2.74,1.9,0.67,0.88,0.29,0.04,0.0,0.04,0.0,0.0,12.97,4.89,2.74,4.3,2.02,0.8,5.05,13.14,1.64,12.34,1.43,6.91,4.17,3.75,0.08,0.04,0.17,0.04,0.08,0.55,0.0,0.0,0.17,0.38,0.0,15.5,8.59,3.83,0.04,0.0,0.38,0.0,0.17,0.04,2.44,0.0,0.0
